state,lga,ward,uid,facility_code,facility_name,reg_number,start_date,ownership,facility_level,longitude,latitude,operation_status,registration_status,license_status,created,last_updated
Abia,Aba South,Unknown,36795714,01/02/1/2/2/0058,St. Andrew Hospital & Clinic,,,Private,Secondary,,,Operational,Unknown,Unknown,2018-01-01 01:01:01,2018-01-01 01:01:01
Abia,Aba South,Unknown,72627855,01/02/1/2/2/0059,St. Anthony Hospital,,,Private,Secondary,7.37867,5.10131,Operational,Unknown,Unknown,2018-01-01 01:01:01,2018-01-01 01:01:01
Abia,Aba South,Unknown,76973745,01/02/1/2/2/0060,St. Augustus Hopital,,,Private,Secondary,,,Operational,Unknown,Unknown,2018-01-01 01:01:01,2018-01-01 01:01:01
Abia,Aba South,Ngwa 1,36757011,01/02/1/2/2/0061,St. Benard Hospital,,,Private,Secondary,,,Operational,Unknown,Unknown,2018-01-01 01:01:01,2018-01-01 01:01:01
Abia,Aba South,Unknown,56005364,01/02/1/2/2/0062,St. Frances Hospital,,,Private,Secondary,,,Operational,Unknown,Unknown,2018-01-01 01:01:01,2018-01-01 01:01:01
Abia,Aba South,Elu Ohazu,67040877,01/02/1/2/2/0063,"St. Joseph Catholic Hospital, Ohabia",,,Private,Secondary,7.33807373,5.072082519,Operational,Unknown,Unknown,2018-01-01 01:01:01,2018-01-01 01:01:01
Abia,Aba South,Unknown,46812018,01/02/1/2/2/0064,St. Partrick Hospital,,,Private,Secondary,,,Operational,Unknown,Unknown,2018-01-01 01:01:01,2018-01-01 01:01:01
Abia,Aba South,Unknown,18960073,01/02/1/2/2/0065,The Apostolic Church Hospital,,,Private,Secondary,,,Operational,Unknown,Unknown,2018-01-01 01:01:01,2018-01-01 01:01:01
Abia,Aba South,Unknown,77230417,01/02/1/2/2/0066,Tricoma Christain Hospital,,,Private,Secondary,,,Operational,Unknown,Unknown,2018-01-01 01:01:01,2018-01-01 01:01:01
Abia,Aba South,Unknown,35704298,01/02/1/2/2/0067,Twin Hospital,,,Private,Secondary,,,Operational,Unknown,Unknown,2018-01-01 01:01:01,2018-01-01 01:01:01
Abia,Aba South,Unknown,65595109,01/02/1/2/2/0068,Ucheoma Hospital,,,Private,Secondary,,,Operational,Unknown,Unknown,2018-01-01 01:01:01,2018-01-01 01:01:01
Abia,Aba South,Unknown,31187261,01/02/1/2/2/0069,Ududi Hospital,,,Private,Secondary,,,Operational,Unknown,Unknown,2018-01-01 01:01:01,2018-01-01 01:01:01
Abia,Aba South,Unknown,20822613,01/02/1/2/2/0070,Ugonna. Hospital,,,Private,Secondary,,,Operational,Unknown,Unknown,2018-01-01 01:01:01,2018-01-01 01:01:01
Abia,Aba South,Unknown,56460178,01/02/1/2/2/0071,Union Hospital,,,Private,Secondary,,,Operational,Unknown,Unknown,2018-01-01 01:01:01,2018-01-01 01:01:01
Abia,Aba South,Unknown,58760732,01/02/1/2/2/0072,Uwalaka Hospital,,,Private,Secondary,7.360473633,5.111083984,Operational,Unknown,Unknown,2018-01-01 01:01:01,2018-01-01 01:01:01
Abia,Aba South,Unknown,64092998,01/02/1/2/2/0073,Uzoma Hospital,,,Private,Secondary,,,Operational,Unknown,Unknown,2018-01-01 01:01:01,2018-01-01 01:01:01
Abia,Aba South,Unknown,31476444,01/02/1/2/2/0074,Wimpole Hospital,,,Private,Secondary,7.375,5.1103,Operational,Unknown,Unknown,2018-01-01 01:01:01,2018-01-01 01:01:01
Abia,Arochukwu,Arochukwu 1,30415725,01/03/1/2/2/0058,ARO USA,,2010-05-11,Private,Secondary,7.90031,5.382,Operational,Registered,Licensed,2019-05-24 15:51:42,2019-05-27 09:31:03
Abia,Arochukwu,Arochukwu 1,71428353,01/03/1/2/1/0001,Arochukwu General Hospital,,1964-02-08,Public,Secondary,7.91229248,5.388305664,Operational,Registered,Licensed,2018-01-01 01:01:01,2019-05-09 16:03:04
Abia,Arochukwu,Ututu,18405757,01/03/1/2/1/0055,Cottage Hospital,,2005-04-01,Public,Secondary,7.9159,5.4215,Operational,Registered,Licensed,2019-05-24 15:12:33,2019-05-27 10:01:46
Abia,Arochukwu,Unknown,49238746,01/03/1/2/1/0002,General Hospital Arochukwu,,,Public,Secondary,,,Operational,Unknown,Unknown,2018-01-01 01:01:01,2018-01-01 01:01:01
Abia,Arochukwu,Arochukwu 3,79521498,01/03/1/2/2/0057,God Blessed,,2016-05-08,Private,Secondary,7.90446,5.39943,Operational,Registered,Licensed,2019-05-24 15:39:40,2019-05-27 10:53:57
Abia,Arochukwu,Ikwun 1,31331307,01/03/1/2/2/0002,Mercy Catholic Hospital,,1997-06-05,Private,Secondary,7.885681152,5.481506348,Operational,Registered,Licensed,2018-01-01 01:01:01,2019-05-27 11:02:57
Abia,Arochukwu,Arochukwu 3,44547607,01/03/1/2/1/0003,Obinkita Health Centre,,1994-04-08,Public,Secondary,7.888671875,5.387878418,Operational,Registered,Licensed,2018-01-01 01:01:01,2019-05-16 13:25:09
Abia,Arochukwu,Arochukwu 2,61467140,01/03/1/2/2/0006,St Anthony'S Hospital (Arochukwu),,2004-09-02,Private,Secondary,7.88647461,5.393127441,Operational,Registered,Licensed,2018-01-01 01:01:01,2019-05-16 10:05:50
Abia,Arochukwu,Ohafor 1,34460006,01/03/1/2/2/0009,The Light Hospital,,2008-05-11,Private,Secondary,7.74078,5.59414,Operational,Registered,Licensed,2018-01-01 01:01:01,2019-05-16 13:23:06
Abia,Bende,Uzuakoli 2,31523236,01/04/1/1/2/0001,Achama  Hospital,,1990-02-06,Private,Secondary,7.5604,5.6311,Operational,Registered,Licensed,2018-01-01 01:01:01,2020-05-22 13:37:53
Abia,Bende,Ugwueke,77021455,01/04/1/2/2/0003,Royal Cross Methodist Hospital,,1991-06-02,Private,Secondary,7.61416,5.80294,Operational,Registered,Licensed,2018-01-01 01:01:01,2019-05-15 15:51:12
Abia,Bende,Itumbauzo 1,76521138,01/04/1/1/2/0010,St. Nicholas Catholic Hospital,,2014-11-06,Private,Secondary,,,Operational,Registered,Licensed,2018-01-01 01:01:01,2019-05-15 15:41:05
Abia,Bende,Uzuakoli 2,23680288,01/04/1/1/2/0011,Tochi Hospital,,2006-03-09,Private,Secondary,7.56117,5.63261,Operational,Registered,Licensed,2018-01-01 01:01:01,2019-05-15 15:42:40
Abia,Bende,Item 1,57624198,01/04/1/2/1/0001,Umunnato General Hospital,,1980-01-03,Public,Secondary,7.630493164,5.726074219,Operational,Registered,Licensed,2018-01-01 01:01:01,2019-05-15 15:14:38
Abia,Ikwuano,Unknown,82861680,01/05/1/2/2/0001,Christian Hospital,,,Private,Secondary,7.533325195,5.380493164,Operational,Unknown,Unknown,2018-01-01 01:01:01,2018-01-01 01:01:01
Abia,Ikwuano,Unknown,25625144,01/05/1/2/1/0001,Comprehensive Health Centre (Fmc),,,Public,Secondary,7.54626,5.40861,Operational,Unknown,Unknown,2018-01-01 01:01:01,2018-01-01 01:01:01
Abia,Ikwuano,Oboro 2,60267856,01/05/1/2/1/0002,Michael Okpara University Of Agriculture Health Centre,,,Public,Secondary,7.54369,5.48164,Operational,Unknown,Unknown,2018-01-01 01:01:01,2018-01-01 01:01:01
Abia,Ikwuano,Unknown,38351213,01/05/1/2/2/0002,St. Michaels Catholic Hospital Ariam Elu Elu,,,Private,Secondary,7.625150084,5.3333956,Operational,Unknown,Unknown,2018-01-01 01:01:01,2018-01-01 01:01:01
Abia,Ikwuano,Unknown,22845416,01/05/1/2/2/0003,Steugene Hospital,,,Private,Secondary,7.567504883,5.403686524,Operational,Unknown,Unknown,2018-01-01 01:01:01,2018-01-01 01:01:01
Abia,Isiala-Ngwa North,Umuelemoh Mbawsi,42911768,01/06/1/2/2/0001,Central Medical Centre,,2005-08-08,Private,Secondary,7.43315,5.8569,Operational,Registered,Licensed,2018-01-01 01:01:01,2019-05-30 12:18:19
Abia,Isiala-Ngwa North,Umuelemoh Mbawsi,23457723,01/06/1/2/2/0002,Cottage Hospital,,,Private,Secondary,,,Operational,Unknown,Unknown,2018-01-01 01:01:01,2018-01-01 01:01:01
Abia,Isiala-Ngwa North,Unknown,69818604,01/06/1/2/2/0003,Euna Hospital,,,Private,Secondary,7.401916504,5.249084473,Operational,Unknown,Unknown,2018-01-01 01:01:01,2018-01-01 01:01:01
Abia,Isiala-Ngwa North,Unknown,21831700,01/06/1/2/2/0004,Innokin Hospital,,,Private,Secondary,7.314880371,5.30291748,Operational,Unknown,Unknown,2018-01-01 01:01:01,2018-01-01 01:01:01
Abia,Isiala-Ngwa North,Ngwaukwu 1,72013874,01/06/1/2/1/0001,Okpuala Ngwa General Hospital,,1974-04-01,Public,Secondary,7.3799,5.35252,Operational,Registered,Licensed,2018-01-01 01:01:01,2019-05-30 13:29:40
Abia,Isiala-Ngwa North,Umuha,19759187,01/06/1/2/2/0005,St Eugene Hospital,,1996-07-10,Private,Secondary,7.567466497,5.403551459,Operational,Registered,Licensed,2018-01-01 01:01:01,2019-05-31 14:11:57
Abia,Isiala-Ngwa South,Amaise Ahaba,26484156,01/07/1/2/2/0098,Central Hospital,,2005-06-05,Private,Secondary,7.182,5.1713,Operational,Registered,Licensed,2019-06-05 11:47:57,2019-06-06 12:15:07
Abia,Isiala-Ngwa South,Omoba,33675241,01/07/1/2/2/0002,Christianways Mission Hospital,,1982-03-04,Private,Secondary,7.40744,5.24422,Operational,Registered,Licensed,2018-01-01 01:01:01,2019-05-30 12:28:20
Abia,Isiala-Ngwa South,Unknown,43003468,01/07/1/2/2/0003,Euna Hospital,,,Private,Secondary,7.401781082,5.248986483,Operational,Unknown,Unknown,2018-01-01 01:01:01,2018-01-01 01:01:01
Abia,Isiala-Ngwa South,Ovuokwu,26976843,01/07/1/1/2/0003,Gods Care Hospital Maternity Clinic,,2012-01-08,Private,Secondary,7.420620918,5.268502235,Operational,Registered,Licensed,2018-01-01 01:01:01,2019-06-06 12:15:50
Abia,Isiala-Ngwa South,Unknown,49551011,01/07/1/2/2/0004,Innokin Hospital,,,Private,Secondary,7.314915061,5.30284524,Operational,Unknown,Unknown,2018-01-01 01:01:01,2018-01-01 01:01:01
Abia,Isiala-Ngwa South,Amaise Ahaba,36468069,01/07/1/2/1/0095,Nigeria Naval Finance Logistics Hospital,,2016-08-08,Public,Secondary,7.3032,5.2938,Operational,Registered,Licensed,2019-05-30 17:48:45,2019-05-31 09:01:20
Abia,Isiala-Ngwa South,Unknown,56391842,01/07/1/2/2/0006,Nneoma Hospital,,,Private,Secondary,,,Operational,Unknown,Unknown,2018-01-01 01:01:01,2018-01-01 01:01:01
Abia,Isiala-Ngwa South,Amaise Ahaba,34925382,01/07/1/1/2/0011,Ronald Hospital,CRBN284651,2014-07-05,Private,Secondary,7.194,5.1647,Operational,Registered,Licensed,2018-01-01 01:01:01,2019-06-06 12:16:09
Abia,Isiala-Ngwa South,Omoba,40406086,01/07/1/2/2/0097,Ronald Hospital Annex,,2002-08-10,Private,Secondary,7.2426,5.1449,Operational,Registered,Licensed,2019-06-05 11:39:52,2019-06-06 12:16:24
Abia,Isiala-Ngwa South,Amaise Ahaba,62093154,01/07/1/1/2/0015,St. Simons Maternity Hospital,,1991-11-11,Private,Secondary,7.336079527,5.288377404,Operational,Registered,Licensed,2018-01-01 01:01:01,2019-06-06 12:16:38
Abia,Isiala-Ngwa South,Aku-na Ekpu I,74145406,01/07/1/2/2/0102,Teresa Orsini Clinic,AB/MH/MD/001/2015,2014-05-03,Private,Secondary,7.48016,5.33482,Operational,Registered,Licensed,2019-06-05 13:17:22,2019-06-06 12:16:50
Abia,Isuikwuato,Isiala,76261768,01/08/1/2/1/0001,General Hospital Isuikwuato,,1995-05-01,Public,Secondary,7.5033,5.7329,Operational,Registered,Licensed,2018-01-01 01:01:01,2019-05-15 14:44:03
